date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:48:30	100/100	---MCZ	200	added ('OK')	text/plain	etag:W/%228c6379daac57d4174764519058516598%22	https://niqsfitgym.me/robots.txt		(from )
16:48:30	370318/370318	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Aug%202024%2002:22:39%20GMT	https://niqsfitgym.me/	C:/Users/SHARKY/Documents/Niq's%20Fitness%20Gym%20Page/Website/niqsfitgym.me/index.html	(from )
16:48:30	13166/13166	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2025%20Aug%202024%2008:48:33%20GMT	https://kit.fontawesome.com/1985d96bfa.js	C:/Users/SHARKY/Documents/Niq's%20Fitness%20Gym%20Page/Website/kit.fontawesome.com/1985d96bfa.js	(from https://niqsfitgym.me/)
16:48:31	194699/194699	---MCZ	200	added ('OK')	text/css	etag:W/%22f1a8fe9e98944b9d682ec5c3efac8f17%22	https://niqsfitgym.me/hs-fs/hub/46178952/hub_generated/template_assets/175836539234/1723878104085/marketplace/MagicalMtas/Relxo/css/vendor/bootstrap.min.css	C:/Users/SHARKY/Documents/Niq's%20Fitness%20Gym%20Page/Website/niqsfitgym.me/hs-fs/hub/46178952/hub_generated/template_assets/175836539234/1723878104085/marketplace/MagicalMtas/Relxo/css/vendor/bootstrap.min.css	(from https://niqsfitgym.me/)
16:48:31	53161/53161	---MCZ	200	added ('OK')	text/css	etag:W/%2232b80e1657ebb7bd80bbe388d94e08c2%22	https://niqsfitgym.me/hs-fs/hub/46178952/hub_generated/template_assets/175836134015/1723878103800/marketplace/MagicalMtas/Relxo/css/plugins/animate.min.css	C:/Users/SHARKY/Documents/Niq's%20Fitness%20Gym%20Page/Website/niqsfitgym.me/hs-fs/hub/46178952/hub_generated/template_assets/175836134015/1723878103800/marketplace/MagicalMtas/Relxo/css/plugins/animate.min.css	(from https://niqsfitgym.me/)
16:48:32	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%22847da8fca8060ca1a70f976aab1210b9%22	https://niqsfitgym.me/hs-fs/hub/46178952/hub_generated/template_assets/175841684841/1723878104422/marketplace/MagicalMtas/Relxo/css/plugins/aos.min.css	C:/Users/SHARKY/Documents/Niq's%20Fitness%20Gym%20Page/Website/niqsfitgym.me/hs-fs/hub/46178952/hub_generated/template_assets/175841684841/1723878104422/marketplace/MagicalMtas/Relxo/css/plugins/aos.min.css	(from https://niqsfitgym.me/)
16:48:32	16375/16375	---MCZ	200	added ('OK')	text/css	etag:W/%22b29ba263fa294bfd1f96fd1c4c7dd012%22	https://niqsfitgym.me/hs-fs/hub/46178952/hub_generated/template_assets/175836539242/1723878105830/marketplace/MagicalMtas/Relxo/css/plugins/swiper-bundle.min.css	C:/Users/SHARKY/Documents/Niq's%20Fitness%20Gym%20Page/Website/niqsfitgym.me/hs-fs/hub/46178952/hub_generated/template_assets/175836539242/1723878105830/marketplace/MagicalMtas/Relxo/css/plugins/swiper-bundle.min.css	(from https://niqsfitgym.me/)
16:48:33	14982/14982	---MCZ	200	added ('OK')	text/css	etag:W/%229f1bc7ee00bd366ced49538bdf80030a%22	https://niqsfitgym.me/hs-fs/hub/46178952/hub_generated/template_assets/175836539238/1723878103797/marketplace/MagicalMtas/Relxo/css/plugins/venobox.min.css	C:/Users/SHARKY/Documents/Niq's%20Fitness%20Gym%20Page/Website/niqsfitgym.me/hs-fs/hub/46178952/hub_generated/template_assets/175836539238/1723878103797/marketplace/MagicalMtas/Relxo/css/plugins/venobox.min.css	(from https://niqsfitgym.me/)
16:48:33	42332/42332	---MCZ	200	added ('OK')	text/css	etag:W/%229370fa339fee786a83b7e80894064797%22	https://niqsfitgym.me/hs-fs/hub/46178952/hub_generated/template_assets/175836539245/1723878103763/marketplace/MagicalMtas/Relxo/css/main.min.css	C:/Users/SHARKY/Documents/Niq's%20Fitness%20Gym%20Page/Website/niqsfitgym.me/hs-fs/hub/46178952/hub_generated/template_assets/175836539245/1723878103763/marketplace/MagicalMtas/Relxo/css/main.min.css	(from https://niqsfitgym.me/)
16:48:34	3775/3775	---MCZ	200	added ('OK')	text/css	etag:W/%223b4b3d7872a1a11a6fad728d4d619b11%22	https://niqsfitgym.me/hs-fs/hub/46178952/hub_generated/module_assets/175841684866/1723792651588/module_175841684866_Header_Navigation.min.css	C:/Users/SHARKY/Documents/Niq's%20Fitness%20Gym%20Page/Website/niqsfitgym.me/hs-fs/hub/46178952/hub_generated/module_assets/175841684866/1723792651588/module_175841684866_Header_Navigation.min.css	(from https://niqsfitgym.me/)
